Churn,tenure,MonthlyCharges,TotalCharges,PhoneService,Contract.xOne.year,Contract.xTwo.year,PaperlessBilling,PaymentMethod.xCredit.card..automatic.,PaymentMethod.xElectronic.check,PaymentMethod.xMailed.check,gender,SeniorCitizen,Partner,Dependents,MultipleLines.xNo.phone.service,MultipleLines.xYes,InternetService.xFiber.optic,InternetService.xNo,OnlineSecurity.xNo.internet.service,OnlineSecurity.xYes,OnlineBackup.xNo.internet.service,OnlineBackup.xYes,DeviceProtection.xNo.internet.service,DeviceProtection.xYes,TechSupport.xNo.internet.service,TechSupport.xYes,StreamingTV.xNo.internet.service,StreamingTV.xYes,StreamingMovies.xNo.internet.service,StreamingMovies.xYes,prob
0,0.593931947,0.744592543,0.765030646,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.305237065
0,1.205047909,1.440930314,2.003885189,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0.034760157
0,1.571717486,1.711820665,2.658516717,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0.103571089
0,-0.302371464,-0.988773317,-0.63475764,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.052406803
0,-0.098666144,0.33077845,-0.075879043,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0.295085968
0,1.368012165,1.249811356,1.847804163,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0.057680194
1,-0.302371464,-1.312844595,-0.70891598,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.054033783
0,-0.832005298,-1.508949265,-0.919898882,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.128021404
0,-0.424594657,-0.480230696,-0.52252753,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.474540354
0,-0.098666144,-1.495654033,-0.752899242,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.03348103
1,-1.117192747,-0.586592552,-0.908847922,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4097616
0,-1.239415939,-0.681321079,-0.967896665,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439216091
0,0.634673011,-0.658054423,-0.038380775,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.073182505
1,-0.709782106,0.949006734,-0.369975753,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.726643411
0,0.716155139,1.490787434,1.377509709,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0.352099983
0,1.61245855,0.925740078,1.963012077,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0.012795731
0,-1.280157004,-1.498977841,-0.998601129,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.177036556
0,0.634673011,0.493645041,0.700114527,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0.041475298
0,0.797637267,0.551811681,0.91370025,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0.075901522
0,1.408753229,-0.47358308,0.506645522,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.017367691
0,-1.198674875,0.850954398,-0.88886355,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0.673709651
1,-1.239415939,0.69307352,-0.927222073,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.747098787
1,-0.017184015,0.335764162,0.008844985,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510335507
0,1.61245855,0.167911859,1.243640892,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0.00908779
0,-1.035710619,-0.197707018,-0.801845511,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0.426561612
1,0.675414075,1.293020859,1.214502532,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0.360062506
0,-0.832005298,-1.179892276,-0.85028445,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.384010578
0,-0.220889336,-0.333983145,-0.341013855,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.184742576
1,-1.117192747,1.040411453,-0.807271731,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0.730755589
0,-0.669041042,-1.520582593,-0.863188266,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.053326292
0,-0.872746362,-0.81094959,-0.820859339,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.221512225
0,1.571717486,0.664821152,1.659981956,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0.029721762
1,-0.2616304,0.797773471,-0.003948542,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.474316742
0,0.675414075,-1.484020706,-0.57789262,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.011111864
1,-0.383853593,1.165054252,0.021175298,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0.592268005
0,1.530976422,1.091930477,2.073080522,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0.147865061
0,0.268003434,1.170039964,0.684784352,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0.265461914
0,1.12356578,1.253135164,1.709170861,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0.107258669
1,-1.117192747,0.171235667,-0.861644219,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.576793985
1,-1.198674875,0.550149777,-0.904193725,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.740481012
0,1.61245855,-0.119597531,0.929493638,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0.021076641
0,1.61245855,0.319145122,1.357635627,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0.006573086
1,1.042083652,1.239839932,1.589088172,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0.29159543
0,-0.302371464,-1.487344514,-0.799198574,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.085486326
0,1.449494293,-0.01489758,0.9953803,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0.017254467
0,0.308744498,-1.500639745,-0.641022057,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.010783273
1,0.145780241,0.66814496,0.345822068,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.561773624
0,0.186521305,0.877544862,0.484830353,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0.300023477
0,-1.239415939,-1.510611169,-0.986844319,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.17203344
0,-0.95422849,-0.839201958,-0.842740681,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.177946374
1,-1.280157004,-1.000406645,-0.991983787,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.569899178
0,-0.424594657,-0.22762129,-0.446229584,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.212336484
0,1.61245855,1.57222073,2.506935483,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0.034068966
1,-1.198674875,0.698059232,-0.887209215,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.673709651
0,0.553190882,-1.508949265,-0.580318978,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.008772803
1,-1.280157004,0.187854707,-0.976212457,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60335317
0,1.61245855,1.336230363,2.340994618,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0.047344577
0,-0.383853593,-0.315702202,-0.440759248,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.206586201
0,1.042083652,1.524025514,1.871979517,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0.153593245
0,-1.198674875,-0.151173707,-0.93207479,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.511850354
0,0.91986046,-0.18607369,0.393753677,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.023825085
0,0.675414075,0.681440192,0.88877493,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.223132428
1,-0.994969555,-1.306196979,-0.912355112,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337031547
0,1.368012165,0.04326906,0.946345801,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.015666817
0,-0.709782106,-1.470725474,-0.876731758,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.055106912
0,-0.709782106,-0.525102104,-0.6767557,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408702945
1,-0.180148272,0.840982975,0.139250727,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.270650562
0,1.205047909,-0.154497515,0.648455148,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.01302224
0,0.349485562,0.523559313,0.432597471,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0.148630559
1,0.634673011,-0.648082999,-0.061012082,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.201515136
0,0.023557049,0.525221217,0.162257017,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.065209856
1,-0.383853593,0.631583072,-0.168985036,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0.421776659
0,-0.139407208,1.130154269,0.231077368,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0.448431874
1,0.349485562,0.27261181,0.316705765,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.148630559
0,0.512449818,1.241501836,1.081736606,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0.221797214
0,-0.017184015,0.00172146,-0.120149057,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.106091866
0,0.349485562,-1.314506499,-0.567701914,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.094807229
0,-0.872746362,-1.500639745,-0.907700916,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.028978482
0,1.164306844,1.150097116,1.614785514,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0.157007232
0,-0.383853593,-0.510144968,-0.51348383,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142744012
1,-1.280157004,0.495306945,-0.972131763,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.757196974
1,-1.117192747,0.357368914,-0.853041676,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.569679347
0,1.001342588,-1.48568261,-0.52744642,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.008439184
1,-1.280157004,0.209459459,-0.975925706,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519128619
0,-0.180148272,1.181673292,0.227504003,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0.208460701
0,-0.343112528,-1.479034994,-0.804382158,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.120002864
1,-0.587558913,-1.484020706,-0.834866045,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.049926772
1,0.105039177,1.248149452,0.592384209,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0.225408258
1,-0.098666144,0.671468768,0.150411976,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.612238976
0,1.61245855,-0.754444855,0.299412447,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.01069611
1,-0.709782106,0.360692722,-0.501440269,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571708525
0,1.368012165,0.029973828,0.924486516,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.011169632
1,0.91986046,0.686425904,1.143211708,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.319210113
0,1.001342588,0.209459459,0.819138441,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.046576969
0,1.61245855,1.487463626,2.594791719,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0.067244158
0,-0.180148272,-1.472387378,-0.758898965,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.077685257
0,-1.239415939,-0.088021355,-0.95739715,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.432808184
0,-0.832005298,-1.454106434,-0.903267297,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.128021404
0,-0.791264234,0.284245138,-0.596332945,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0.269862684
0,1.61245855,0.324130834,1.388472438,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0.00908779
1,-0.424594657,0.614964032,-0.19296187,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.516287466
0,0.349485562,1.223220892,0.726694181,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0.246696342
0,-1.157933811,0.26430229,-0.867114555,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.585247874
0,1.082824716,-1.307858883,-0.330536398,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.00775007
0,0.716155139,-1.495654033,-0.560312549,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.011050002
1,-1.280157004,-1.321154115,-0.996240944,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484638642
1,-0.180148272,0.335764162,-0.094738466,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.373271108
0,1.61245855,1.565573114,2.553300989,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0.047344577
0,0.838378331,-1.532215921,-0.56362122,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.006892631
1,-0.913487426,-0.639773479,-0.82968246,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372344738
0,1.327271101,0.95565435,1.67019472,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0.127782679
1,-0.465335721,-0.761092471,-0.636676669,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.39816251
0,-0.139407208,-1.482358802,-0.760773879,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.015721102
1,-0.791264234,0.639892592,-0.524093634,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.593325029
1,-0.669041042,1.023792413,-0.321007426,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0.638980681
0,-0.587558913,0.290892754,-0.407562252,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.550096866
0,-0.139407208,-0.526764008,-0.423333582,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.130459527
0,-0.424594657,-0.284126026,-0.437229999,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.106220407
0,0.064298113,0.678116384,0.26078923,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.32594585
0,0.634673011,0.157940435,0.508343973,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.086237269
0,-1.280157004,-1.480696898,-0.998358493,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.232606602
1,-1.280157004,1.003849565,-0.965382075,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0.757196974
0,0.797637267,0.698059232,0.948485408,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0.155172626
1,-0.791264234,0.611640224,-0.539401751,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.592595101
1,0.553190882,1.502420762,1.143255823,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0.285372855
1,0.838378331,0.998863853,1.198576797,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0.134757471
0,0.308744498,1.367806539,0.905207995,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0.25320678
1,-1.157933811,0.69307352,-0.857784104,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.795706157
1,-1.157933811,1.2265447,-0.84646845,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0.795706157
0,-0.791264234,0.03495954,-0.609258818,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.511511869
1,-0.95422849,0.324130834,-0.732495773,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698486279
0,1.001342588,0.962301966,1.474453761,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0.079307555
0,-0.098666144,0.98058291,0.174874081,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0.521173785
0,0.797637267,-1.321154115,-0.446913376,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.013839802
1,-0.343112528,-0.304068874,-0.389430736,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.258482124
0,0.756896203,0.164588051,0.564326681,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0.057805036
1,-1.239415939,-1.321154115,-0.982432758,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561366915
0,-1.035710619,-1.464077858,-0.945044779,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.148688365
0,-1.157933811,-1.492330226,-0.973477289,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0.036660832
1,-1.239415939,1.032101933,-0.920075344,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0.750755286
